Dates	Day of the Week, M=1	Weekday	Count	Net Changes
42514	2	TRUE	1	0
42515	3	TRUE	1	-137.09
42516	4	TRUE	1	-8
42517	5	TRUE	4	-51.77
42518	6	FALSE	11	-289.26
42519	7	FALSE	4	-151
42520	1	TRUE	9	-87.52
42521	2	TRUE	6	-171.45
42522	3	TRUE	5	-53.48
42523	4	TRUE	4	-78.72
42524	5	TRUE	5	-115.67
42525	6	FALSE	4	-50.13
42526	7	FALSE	5	-49.28
42527	1	TRUE	6	-456.48
42528	2	TRUE	5	-44.46
42529	3	TRUE	2	-12.4
42530	4	TRUE	2	-19.34
42531	5	TRUE	1	0
42532	6	FALSE	13	-338.16
42533	7	FALSE	5	-133.17
42534	1	TRUE	1	-5
42535	2	TRUE	3	-50.15
42536	3	TRUE	1	-3.01
42537	4	TRUE	3	-18.02
42538	5	TRUE	2	-72.52
42539	6	FALSE	10	-92.77
42540	7	FALSE	2	-83.96
42541	1	TRUE	2	-333.38
42542	2	TRUE	4	-239.93
42543	3	TRUE	1	0
42544	4	TRUE	1	-16
42545	5	TRUE	5	-92.99
42546	6	FALSE	1	-102.73
42547	7	FALSE	3	-86.4
42548	1	TRUE	4	-5.4
42549	2	TRUE	1	-11.76
42550	3	TRUE	6	-73.32
42551	4	TRUE	8	-68.58
42552	5	TRUE	3	-103.22
42553	6	FALSE	5	-142.34
